"id"	"language"	"date"	"author"	"publisher"	"title"	"subtitle"	"size"	"keywords"	"link"	"comments"
"1"	"en"	"2016"	"Ian Goodfellow and Yoshua Bengio and Aaron Courville"	"MIT Press"	"Deep Learning - An MIT Press book"	""	""	""	"http://www.deeplearningbook.org/"	""
"2"	"en"	"2005"	"David Kriesel"	""	"A Brief Introduction to Neural Networks"	""	"6.4MB"	""	"http://www.dkriesel.com/_media/science/neuronalenetze-en-zeta2-2col-dkrieselcom.pdf"	""
